CLOSE_DEF_PERSON_ID,GP,G,DEFENSE_CATEGORY,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
2037,79,63,Less Than 10 Ft,0.282,79,135,0.585,0.544,0.041
2037,79,74,Greater Than 15 Ft,0.611,105,292,0.36,0.359,0.001
201601,66,66,Overall,1.0,182,513,0.355,0.451,-0.097
201601,66,58,3 Pointers,0.302,50,155,0.323,0.346,-0.023
201601,66,66,2 Pointers,0.698,132,358,0.369,0.49,-0.121
201601,66,54,Less Than 6 Ft,0.205,63,105,0.6,0.599,0.001
201601,66,61,Less Than 10 Ft,0.314,84,161,0.522,0.548,-0.026
201601,66,65,Greater Than 15 Ft,0.53,75,272,0.276,0.367,-0.091
203085,66,66,Overall,1.0,173,443,0.391,0.441,-0.051
203085,66,58,3 Pointers,0.345,50,153,0.327,0.358,-0.031
203085,66,66,2 Pointers,0.655,123,290,0.424,0.483,-0.059
203085,66,50,Less Than 6 Ft,0.203,46,90,0.511,0.589,-0.078
203085,66,58,Less Than 10 Ft,0.309,66,137,0.482,0.537,-0.055
203085,66,63,Greater Than 15 Ft,0.573,90,254,0.354,0.373,-0.018
201933,35,35,Overall,1.0,218,453,0.481,0.462,0.019
201933,35,33,3 Pointers,0.234,41,106,0.387,0.351,0.036
201933,35,35,2 Pointers,0.766,177,347,0.51,0.494,0.016
201933,35,35,Less Than 6 Ft,0.351,95,159,0.597,0.594,0.004
201933,35,35,Less Than 10 Ft,0.437,117,198,0.591,0.543,0.048
201933,35,35,Greater Than 15 Ft,0.472,84,214,0.393,0.369,0.023
202325,80,80,Overall,1.0,275,615,0.447,0.452,-0.004
202325,80,73,3 Pointers,0.302,68,186,0.366,0.348,0.018
202325,80,78,2 Pointers,0.698,207,429,0.483,0.493,-0.011
202325,80,71,Less Than 6 Ft,0.328,118,202,0.584,0.592,-0.008
202325,80,76,Less Than 10 Ft,0.454,152,279,0.545,0.545,-0.001
202325,80,78,Greater Than 15 Ft,0.467,105,287,0.366,0.371,-0.005
1718,68,68,Overall,1.0,206,457,0.451,0.451,0.0
1718,68,51,3 Pointers,0.271,42,124,0.339,0.358,-0.019
1718,68,68,2 Pointers,0.729,164,333,0.492,0.494,-0.001
1718,68,57,Less Than 6 Ft,0.333,91,152,0.599,0.6,-0.001
1718,68,63,Less Than 10 Ft,0.479,119,219,0.543,0.547,-0.004
1718,68,66,Greater Than 15 Ft,0.464,77,212,0.363,0.37,-0.006
202332,58,58,Overall,1.0,208,427,0.487,0.46,0.027
202332,58,34,3 Pointers,0.124,14,53,0.264,0.344,-0.08
202332,58,58,2 Pointers,0.876,194,374,0.519,0.496,0.022
202332,58,56,Less Than 6 Ft,0.546,135,233,0.579,0.59,-0.01
202332,58,57,Less Than 10 Ft,0.651,152,278,0.547,0.546,0.001
202332,58,52,Greater Than 15 Ft,0.286,40,122,0.328,0.363,-0.036
